png_path,webp_path,width,height,png_bytes,webp_bytes,saved_bytes,saving_percent,pixel_sha256,batch
assets/textures/textures_webapp/pokemon/bastiodon/main.png,assets/textures/textures_webapp/pokemon/bastiodon/main.webp,475,475,173450,107396,66054,38.0824,20ec3de84158f07f5684ec33eaf6260cef3ecea432e4e90d4d334fc1540619bd,batch-3
assets/textures/textures_webapp/pokemon/beedrill/main-shiny.png,assets/textures/textures_webapp/pokemon/beedrill/main-shiny.webp,475,475,160712,96198,64514,40.1426,0e97cf04e472117a35605271b82c3994af0ab2057f90522884ef60079312460a,batch-3
assets/textures/textures_webapp/pokemon/bergmite/main-shiny.png,assets/textures/textures_webapp/pokemon/bergmite/main-shiny.webp,475,475,168730,94442,74288,44.0277,248779baabc6d135a0f3e9d2172dd85ab9fc23cd657fd666326e36f2cca7d6be,batch-3
assets/textures/textures_webapp/pokemon/bibarel/main-shiny.png,assets/textures/textures_webapp/pokemon/bibarel/main-shiny.webp,475,475,191122,108040,83082,43.4707,7464c0e3638a78de6293f1778e5ec8426784f5951ee8aadfbe39c3f685f0b0f4,batch-2
assets/textures/textures_webapp/pokemon/bidoof/main-shiny.png,assets/textures/textures_webapp/pokemon/bidoof/main-shiny.webp,475,475,212233,119244,92989,43.8146,22387100e41e17a29adae953e90602a70b8bc9d954983f6c1296c00a993831a7,batch-2
assets/textures/textures_webapp/pokemon/binacle/main-shiny.png,assets/textures/textures_webapp/pokemon/binacle/main-shiny.webp,475,475,163700,95828,67872,41.4612,fc9bc6159e29e0da7cd47020f2a1a2278f04b1f515876bfadb13a2f4d020914b,batch-3
assets/textures/textures_webapp/pokemon/blacephalon/main.png,assets/textures/textures_webapp/pokemon/blacephalon/main.webp,475,475,199115,127236,71879,36.0992,9ba10368405026b3ba795dd9c4f8d5e6b1aa081dcb39900df286e1ac9961f30a,batch-3
assets/textures/textures_webapp/pokemon/black-kyurem/main-shiny.png,assets/textures/textures_webapp/pokemon/black-kyurem/main-shiny.webp,475,475,159353,82776,76577,48.0549,4a89139fe6da32f06368a681cf3040a86ef520347b7441ed58bfc1b7592f6350,batch-2
assets/textures/textures_webapp/pokemon/blastoise/main-shiny.png,assets/textures/textures_webapp/pokemon/blastoise/main-shiny.webp,475,475,195989,120860,75129,38.3333,d078ca495b682a1263ee009143ed726a19495b62f46889b183e69c950de51fd7,batch-3
assets/textures/textures_webapp/pokemon/blastoise/main.png,assets/textures/textures_webapp/pokemon/blastoise/main.webp,475,475,197853,124544,73309,37.0523,a37acb574ed64f8cac91b3f987825d6f5dc470308702c8c4f3305579238bc61a,batch-3
assets/textures/textures_webapp/pokemon/braviary-hisui/main-shiny.png,assets/textures/textures_webapp/pokemon/braviary-hisui/main-shiny.webp,475,475,166535,103020,63515,38.1391,a895128b2b0b85f1a8edcf62bbcba045e0cb2eaabcbe358530850ffe0faf0e45,batch-3
assets/textures/textures_webapp/pokemon/braviary/main-shiny.png,assets/textures/textures_webapp/pokemon/braviary/main-shiny.webp,475,475,153354,85424,67930,44.2962,688037895fecdfe4a0301ffb8b1b5fded585b1e0ce46e56423a2eadcef1515e8,batch-3
assets/textures/textures_webapp/pokemon/bronzor/main-shiny.png,assets/textures/textures_webapp/pokemon/bronzor/main-shiny.webp,475,475,181061,93938,87123,48.1180,e4e428e98e720530cb57ff3c5d73f720dd9819b4a156d45b1cb18b32d8b08c45,batch-2
assets/textures/textures_webapp/pokemon/brute-bonnet/main-shiny.png,assets/textures/textures_webapp/pokemon/brute-bonnet/main-shiny.webp,475,475,172928,108356,64572,37.3404,f3c3404b8d95bac25430a087d915aa375a600a0e1affbb14c5bab1b07ced4f2f,batch-3
assets/textures/textures_webapp/pokemon/budew/main-shiny.png,assets/textures/textures_webapp/pokemon/budew/main-shiny.webp,475,475,157269,85008,72261,45.9474,da80b19c4b618b59ca6ca9f3685f56c7deeb52e4c6ed879dfa4a5d2ed7aa435a,batch-3
assets/textures/textures_webapp/pokemon/bulbasaur/main-shiny.png,assets/textures/textures_webapp/pokemon/bulbasaur/main-shiny.webp,475,475,214708,138574,76134,35.4593,61cc56724096ac3b2745b63196b10323216d23c4aec88d8781b73519a331360b,batch-2
assets/textures/textures_webapp/pokemon/bulbasaur/main.png,assets/textures/textures_webapp/pokemon/bulbasaur/main.webp,475,475,203385,128338,75047,36.8990,71d83a8051bd7f7d35f9f47bac8b5daf0470578a32d720bba9b0bb9c36a04fd7,batch-3
assets/textures/textures_webapp/pokemon/bulbasaur/sprite-shiny.png,assets/textures/textures_webapp/pokemon/bulbasaur/sprite-shiny.webp,96,96,545,480,65,11.9266,5d1d64619dd29075f50a9a5e2f193d69c781364241164f3b6b404552a1913841,pilot-1
assets/textures/textures_webapp/pokemon/bulbasaur/sprite.png,assets/textures/textures_webapp/pokemon/bulbasaur/sprite.webp,96,96,543,478,65,11.9705,3c0afc87b8928c1f14f3bd35088c4bae888c09a4e410f6426f32108c1231840c,pilot-1
assets/textures/textures_webapp/pokemon/butterfree/main-shiny.png,assets/textures/textures_webapp/pokemon/butterfree/main-shiny.webp,475,475,184009,106626,77383,42.0539,63c3d7c263a13c1e20e6eab65bb29fa762784314329ecf6ad10d2461e0db61d9,batch-2
assets/textures/textures_webapp/pokemon/butterfree/main.png,assets/textures/textures_webapp/pokemon/butterfree/main.webp,475,475,183600,110620,72980,39.7495,d37c9d7c684ccf051438e221b57413fcf353cedf38e2722effc0c4d1ade5a662,batch-3
assets/textures/textures_webapp/pokemon/cacturne/main-shiny.png,assets/textures/textures_webapp/pokemon/cacturne/main-shiny.webp,475,475,160200,95850,64350,40.1685,039f4552cb47a1c78e1a25c82a0dbdf7424a29a431eeeda4901ad5b5206daae6,batch-3
assets/textures/textures_webapp/pokemon/camerupt/main-shiny.png,assets/textures/textures_webapp/pokemon/camerupt/main-shiny.webp,475,475,181918,98268,83650,45.9823,43b5fb9a4424f55087e3bdee933344643dda48181ac6b27772e984fffe12bada,batch-2
assets/textures/textures_webapp/pokemon/carbink/main-shiny.png,assets/textures/textures_webapp/pokemon/carbink/main-shiny.webp,475,475,167683,90972,76711,45.7476,2034f54897a01cdcb8ba79059c269b43079863410361d5319cca6b1f7dcd25b0,batch-2
assets/textures/textures_webapp/pokemon/carracosta/main-shiny.png,assets/textures/textures_webapp/pokemon/carracosta/main-shiny.webp,475,475,161429,83348,78081,48.3686,f25c8a7f359f9544f8ea00c86e2b8ebb6867b838621f85484edf76e94cba7b8a,batch-2
assets/textures/textures_webapp/pokemon/caterpie/main.png,assets/textures/textures_webapp/pokemon/caterpie/main.webp,475,475,174430,110462,63968,36.6726,384725356faf91b5037634c4edf06df1adfcaab7a39b4928d085ef07109206dd,batch-3
